TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,ZIPCODE,CENTERLONGITUDE,CENTERLATITUDE
V02,1001402,臺東縣,成功鎮,Chenggong Township,V,10014,961,121.353798346222,23.1266371649746
V02,1001321,屏東縣,佳冬鄉,Jiadong Township,T,10013,931,120.547612438793,22.4298062414283
V02,1000913,雲林縣,麥寮鄉,Mailiao Township,P,10009,638,120.243532976097,23.7881705569395
V02,1001411,臺東縣,綠島鄉,Lvdao Township,V,10014,951,121.490195075043,22.6601753663447
V02,1001416,臺東縣,蘭嶼鄉,Lanyu Township,V,10014,952,121.550832776061,22.0461683466765
V02,1000712,彰化縣,田中鎮,Tianzhong Township,N,10007,520,120.590347064933,23.8572387152225
V02,1000717,彰化縣,社頭鄉,Shetou Township,N,10007,511,120.602166084733,23.9053641294991
V02,1001314,屏東縣,竹田鄉,Zhutian Township,T,10013,911,120.526637911855,22.5885563570521
V02,1001305,屏東縣,萬丹鄉,Wandan Township,T,10013,913,120.476618812122,22.5884954738961
V02,1000516,苗栗縣,三灣鄉,Sanwan Township,K,10005,352,120.952574506048,24.6359940537383
V02,1000411,新竹縣,峨眉鄉,Emei Township,J,10004,315,121.011080948058,24.6781119705245
V02,1000511,苗栗縣,南庄鄉,Nanzhuang Township,K,10005,353,121.017471015221,24.5660843176474
V02,6600700,臺中市,南屯區,Nantun District,B,66,408,120.617737937284,24.1416552423673
V02,6602300,臺中市,烏日區,Wuri District,B,66,414,120.629330514717,24.083927096358
V02,1002002,嘉義市,西區,W. District,I,10020,600,120.424872421661,23.4791552866909
V02,1002001,嘉義市,東區,E. District,I,10020,600,120.470624413835,23.4817033352
V02,1001001,嘉義縣,太保市,Taibao City,Q,10010,612,120.344000872028,23.4729190979605
V02,1001013,嘉義縣,中埔鄉,Zhongpu Township,Q,10010,606,120.53653123091,23.404089982357
V02,1001016,嘉義縣,番路鄉,Fanlu Township,Q,10010,602,120.607533513832,23.4276566861997
V02,1001012,嘉義縣,水上鄉,Shuishang Township,Q,10010,608,120.414735704267,23.4291128671563
V02,1000710,彰化縣,員林市,Yuanlin City,N,10007,510,120.593072976619,23.9565044764916
V02,6401000,高雄市,旗津區,Qijin District,E,64,805,120.289153925231,22.5856558338097
V02,6401100,高雄市,小港區,Xiaogang District,E,64,812,120.3592605092,22.5514020719964
V02,0900701,連江縣,南竿鄉,Nangan Township,Z,09007,209,119.931128,26.154321
V02,0900702,連江縣,北竿鄉,Beigan Township,Z,09007,210,119.994251,26.225637
V02,0900703,連江縣,莒光鄉,Juguang Township,Z,09007,211,119.938877,25.972980
V02,0900704,連江縣,東引鄉,Dongyin Township,Z,09007,212,120.490300,26.366101
V02,0902001,金門縣,金城鎮,Jincheng Township,W,09020,893,118.30128,24.38402
V02,0902002,金門縣,金沙鎮,Jinsha Township,W,09020,890,118.40841,24.45865
V02,0902003,金門縣,金湖鎮,Jinhu Township,W,09020,891,118.40373,24.41496
